,fund_id,fund_nm,index_id,fee,m_fee,t_fee,creation_unit,issuer_nm,urls,eval_flg,t0,ex_dt,ex_info,amount,amount_notes,unit_total,unit_incr,price,volume,last_dt,last_time,increase_rt,estimate_value,last_est_time,discount_rt,fund_nav,nav_dt,index_nm,index_increase_rt,idx_price_dt,owned,holded,pe,pb
475,515310,沪深300指数ETF,000300,0.20,0.15,0.05,350.0,汇添富,https://www.99fund.com/main/products/pofund/515310/fundgk.shtml,Y,N,,,28661,,2.94,0.00,1.027,1384.95,2024-04-30,14:59:33,-0.39,1.0260,23:50:03,0.03,1.0267,2024-04-30,沪深300,-0.54,2024-04-30,0,0,-,-
476,515320,电子50ETF,-,0.60,0.50,0.10,100.0,华安基金,https://www.huaan.com.cn/funds/515320/index.shtml,Y,N,,,34031,,2.17,0.00,0.639,651.71,2024-04-30,14:54:34,-0.78,0.6392,23:50:03,-0.03,0.6392,2024-04-30,电子50,-0.81,2024-04-30,0,0,-,-
477,515330,300ETF天弘,000300,0.60,0.50,0.10,300.0,天弘基金,http://www.thfund.com.cn/fundinfo/515330,Y,N,,,834271,,82.18,0.00,0.985,407.90,2024-04-30,14:59:59,-0.51,0.9846,23:50:03,-0.03,0.9853,2024-04-30,沪深300,-0.54,2024-04-30,0,0,-,-
478,515350,民生加银300ETF,000300,0.20,0.15,0.05,90.0,民生加银,http://www.msjyfund.com.cn/osoa/views/funds/fundDetail.html?fund_code=mcaSesVXrHU=&fund_type=M0Uo0ORwvYw=,Y,N,,,2250,,1.03,0.00,4.566,49.04,2024-04-30,14:56:00,-0.50,4.5645,23:50:03,-0.04,4.5677,2024-04-30,沪深300,-0.54,2024-04-30,0,0,-,-
479,515360,方正沪深300ETF,000300,0.60,0.50,0.10,50.0,方正富邦,http://www.founderff.com/funds/515360/index.html,Y,N,,,2978,,1.42,0.00,4.754,30.59,2024-04-30,14:57:08,-0.31,4.7446,23:50:03,0.12,4.7483,2024-04-30,沪深300,-0.54,2024-04-30,0,0,-,-
480,515380,沪深300ETF泰康,000300,0.45,0.40,0.05,90.0,泰康资产,https://www.tkfunds.com.cn/products/ETF/515380/summary/index.html,Y,N,,,88480,,34.81,0.04,3.934,6433.15,2024-04-30,14:59:41,-0.51,3.9326,23:50:03,-0.04,3.9355,2024-04-30,沪深300,-0.54,2024-04-30,0,0,-,-
481,515390,沪深300ETF指数基金,000300,0.20,0.15,0.05,400.0,华安基金,https://www.huaan.com.cn/funds/515390/index.shtml,Y,N,,,37868,,3.78,0.00,0.997,2112.32,2024-04-30,14:59:59,-0.40,0.9954,23:50:03,0.09,0.9961,2024-04-30,沪深300,-0.54,2024-04-30,0,0,-,-
482,515400,大数据ETF,-,0.60,0.50,0.10,100.0,富国基金,https://www.fullgoal.com.cn/funds/zhishu/515400/index.html,Y,N,,,205863,,14.06,0.10,0.683,6547.91,2024-04-30,14:59:53,-0.87,0.6812,23:50:03,0.25,0.6813,2024-04-30,中证数据,-0.78,2024-04-30,0,0,-,-
483,515530,中证500ETF泰康,000905,0.45,0.40,0.05,80.0,泰康资产,https://www.tkfunds.com.cn/products/ETF/515530/summary/index.html,Y,N,,,2344,,0.67,0.02,2.866,1048.18,2024-04-30,14:53:13,-0.62,2.8660,23:50:03,0.00,2.8660,2024-04-30,中证500,-0.68,2024-04-30,0,0,-,-
484,515550,国联中证500ETF,000905,0.40,0.30,0.10,200.0,中融基金,http://www.zrfunds.com.cn/c/2021-03-03/7324.shtml,Y,N,,,2935,,0.35,0.00,1.183,7.62,2024-04-30,14:57:33,1.46,1.1792,23:50:03,0.30,1.1795,2024-04-30,中证500,-0.68,2024-04-30,0,0,-,-
