,name,code,tag,avgamount,index_name,index_id,市盈率,市盈率百分位
48,电子ETF,159997,行业，电子,4996.97,CS电子,930652.CSI,39.91,0.34318706697459583
49,双碳ETF,159641,主题，环保，新兴产业,1115.18,SEEE碳中和,931755.CSI,18.18,0.3534201954397394
50,基本面50ETF,512750,策略，价值,1205.08,基本面50,000925.CSI,8.58,0.35836269991867714
51,AI人工智能ETF,512930,主题，新兴产业，人工智能,8040.3,人工智能,931071.CSI,44.28,0.3643939393939394
52,消费ETF龙头,560680,行业，消费,1472.85,中证消费,000932.SH,27.81,0.3735775742436858
53,红利50ETF,159758,策略，红利，价值,1849.37,红利质量,931468.CSI,19.29,0.38204592901878914
54,红利低波100ETF,159307,策略，低波动，红利,1248.77,红利低波100,930955.CSI,6.5,0.3842042755344418
55,稀土ETF,516780,主题，稀土,1491.46,稀土产业,930598.CSI,35.61,0.38805220883534136
56,半导体龙头ETF,159665,行业，半导体，芯片,1577.33,国证芯片,980017.CNI,64.23,0.393859649122807
57,化工50ETF,516120,行业，化工,1274.98,细分化工,000813.CSI,21.48,0.39519725557461405
58,德国ETF,159561,跨境，德国,7232.78,德国DAX,GDAXI.GI,14.86,0.3962215320910973
59,港股互联网ETF,159568,跨境，香港，互联网,1249.27,HKC互联网,931637.CSI,31.67,0.40375
60,计算机ETF,159998,行业，计算机,2995.5,CS计算机,930651.CSI,53.76,0.41893764434180136
61,医疗创新ETF,516820,行业，医药,2801.07,CS医药创新,931484.CSI,27.4,0.4293085655314757
62,医药龙头ETF,515950,行业，医药,1995.12,医药50,931140.CSI,29.6,0.4331723027375201
63,红利低波动ETF,563020,策略，红利,1112.42,红利低波,h30269.CSI,6.48,0.45299484331614437
64,证券保险ETF,512070,行业，金融,15289.69,300非银,h30035.CSI,16.48,0.47188973521944144
65,消费电子ETF富国,561100,主题，消费电子,2499.8,消费电子,931494.CSI,35.58,0.4734607218683652
66,半导体产业ETF,159582,行业，半导体，芯片,1033.53,中证半导,931865.CSI,67.34,0.4863123993558776
67,游戏动漫ETF,516770,主题，游戏,1893.01,动漫游戏,930901.CSI,35.93,0.5131752305665349
68,央企创新ETF,515600,主题，央企,2231.31,央企创新,000861.CSI,13.14,0.5452282157676348
69,绿电50ETF,561170,主题，新兴产业，新能源,1162.38,绿色电力,399438.SZ,19.01,0.5535478184222125
70,券商指数ETF,515850,行业，金融，证券,1168.66,证券公司,399975.SZ,24.45,0.5835553863722878
71,中国A50ETF,159602,MSCI,1303.48,MSCI中国A50互联互通,746059.MI,10.88,0.6184384649316277
72,煤炭ETF,515220,行业，煤炭，资源,24435.35,中证煤炭,399998.SZ,12.55,0.6581769436997319
73,创新药ETF,515120,行业，医药,8954.25,CS创新药,931152.CSI,44.91,0.6647540983606557
74,300成长ETF,159656,策略，成长,1456.74,300成长,000918.CSI,17.34,0.7007077856420627
75,数字经济ETF,159658,主题，数字经济,1552.76,数字经济,931582.CSI,50.07,0.7049763033175356
76,电子ETF,515260,行业，电子,1196.36,电子50,931461.CSI,36.64,0.7055710306406685
77,建材ETF,516750,行业，建筑材料,1449.92,建筑材料,931009.CSI,22.27,0.7350590026646364
78,云计算50ETF,516630,主题，TMT，互联网,1533.27,云计算,930851.CSI,77.97,0.7497354497354497
79,中韩半导体ETF,513310,跨境，韩国,8995.23,中韩半导体,931790.CSI,58.27,0.7661431064572426
80,半导体芯片ETF,516350,行业，半导体，芯片,1145.58,芯片产业,H30007.CSI,81.63,0.8216403162055336
81,纳指ETF富国,513870,跨境，美国,1187.43,纳斯达克100,NDX.GI,32.95,0.8229721728833629
82,红利低波ETF基金,515300,策略，红利，低波动,3895.14,300红利LV,930740.CSI,8.09,0.8871090770404272
83,钢铁ETF,515210,行业，钢铁,8552.23,中证钢铁,930606.CSI,40.67,0.8918014500836586
84,软件龙头ETF,159899,主题，新兴产业，软件,1569.54,软件指数,h30202.CSI,159.17,0.9501332318233726
85,农业ETF,159825,行业，农业,10731.48,中证农业,000949.CSI,300.15,0.9953770586535683
