,name,code,close,rate,premium,tag,mtexp,fundfirm,listdate,index,avgamount,m1,y0,y1,y3,y5,scale
176,消费电子ETF,159732,0.639,9938,10007,主题，消费电子,0.60%,华夏基金,2021-08-23,消费电子指数,3022.97,10127,9221,9984,10000,10000,5.34
177,创业板200ETF华夏,159573,0.901,9912,9999,宽基，中小盘,0.60%,华夏基金,2023-12-25,创业200指数,2414.77,9890,8974,10000,10000,10000,3.91
178,500增强ETF,561550,0.871,9932,9987,宽基，中小盘,0.80%,华泰柏瑞基金,2021-12-10,中证500指数,9442.88,10357,10394,9509,10000,10000,6.76
179,汽车ETF,159512,1.137,9718,10051,行业，汽车,0.60%,广发基金,2023-07-25,汽车指数,2220.53,10225,10954,10000,10000,10000,0.903
180,香港医药ETF,513700,0.391,9849,10178,跨境，香港，医药,0.60%,鹏华基金,2021-08-06,HKC医药C人民币指数,5017.46,10051,8129,6650,10000,10000,6.38
181,新能源ETF易方达,516090,0.374,9816,10047,主题，新兴产业，新能源,0.20%,易方达基金,2021-03-19,中证新能指数,2564.53,9816,9350,6703,7131,10000,8.36
182,金融科技ETF,159851,0.908,9795,10001,主题，金融科技,0.60%,华宝基金,2021-03-19,金融科技指数,2650.56,9795,8423,7586,8639,10000,2.94
183,绿电50ETF,561170,1.08,10075,10008,主题，新兴产业，新能源,0.60%,富国基金,2023-03-16,绿色电力指数,1162.38,10189,11180,10640,10000,10000,1.69
184,国证2000ETF,159628,0.876,9898,9982,宽基，中小盘,0.60%,万家基金,2022-07-18,国证2000指数,9335.7,9977,9068,8614,10000,10000,13.41
185,医药卫生ETF,159938,0.642,10016,10005,行业，医药,0.60%,广发基金,2015-01-08,全指医药,6292.94,10322,9185,8106,5820,9923,46.7
186,生物科技ETF,159837,0.459,9978,10008,主题，新兴产业，生物科技,0.20%,易方达基金,2021-01-27,中证生科指数,1787.86,10088,8612,7927,4604,10000,13.08
187,科创100指数ETF,588030,0.824,9952,10007,宽基，中小盘，科创板,0.60%,博时基金,2023-09-15,科创100指数,64886.51,10262,8460,10000,10000,10000,54.87
188,家电ETF,561120,1.068,10152,9930,行业，家电,0.60%,富国基金,2022-02-15,家用电器指数,1673.74,10744,11459,11102,10000,10000,1.35
189,计算机ETF,512720,0.863,9874,9999,行业，计算机,0.60%,国泰基金,2019-08-16,CS计算机指数,8321.53,9796,9171,7127,6930,10000,14.01
190,建材ETF,159745,0.576,9829,10015,行业，建筑材料,0.60%,国泰基金,2021-06-18,建筑材料指数,4567.31,10105,9396,7629,10000,10000,6.1
191,证券ETF,159841,0.798,9840,10024,行业，金融，证券,0.60%,天弘基金,2021-02-09,证券公司指数,20391.18,10192,9708,9466,8618,10000,37.48
192,国开ETF,159650,103.831,10014,10000,债券，利率债，国开债,0.20%,博时基金,2022-10-28,中债-0-3年国开行债券全价(总值)指数,75821.03,10021,10102,10285,10000,10000,61.85
193,中概互联网ETF,159607,0.786,9912,10000,跨境，中概股,0.60%,嘉实基金,2021-12-02,中国互联网30人民币指数,25596.9,10797,10679,10723,10000,10000,20.86
194,港股通科技ETF,513860,0.435,9977,10125,跨境，香港，科技,0.60%,海富通基金,2021-07-02,HKC科技港币全收益指数,6573.47,10558,9624,8735,10000,10000,6.68
195,石油ETF,561360,1.098,10046,10007,行业，石油，天然气,0.60%,国泰基金,2023-10-31,油气产业指数,1815.16,10092,11273,10000,10000,10000,0.457
196,央企创新ETF,515600,1.381,9885,9993,主题，央企,0.20%,广发基金,2019-12-18,央企创新指数,2231.31,10022,11022,9550,12967,10000,22.83
197,港股通医药ETF,513200,0.646,9863,10222,跨境，香港，医药,0.20%,易方达基金,2022-02-11,HKC医药C港元指数,6708.57,10062,8157,6660,10000,10000,11.76
198,科创成长ETF,588110,0.853,9816,9987,策略，成长，科创板,0.60%,广发基金,2023-08-31,科创成长指数,2117.29,10059,9094,10000,10000,10000,1.61
199,恒生生物科技ETF,513280,0.608,9870,10000,跨境，香港，生物科技,0.20%,汇添富基金,2022-07-18,恒生香港上市生物科技指数,1948.08,9918,7865,6566,10000,10000,1.4
200,化工50ETF,516120,0.646,9923,10016,行业，化工,0.60%,富国基金,2021-03-09,细分化工指数,1274.98,10436,10403,8730,6946,10000,1.94
201,恒生红利ETF,159726,0.928,9946,10000,跨境，香港,0.60%,华夏基金,2021-11-23,恒生中国内地企业高股息率指数,2256.08,10728,11154,10704,10000,10000,1.07
202,中证500ETF,159922,5.649,9921,10000,宽基，中小盘,0.20%,嘉实基金,2013-03-15,中证500指数,53448.66,10293,10021,8843,8845,11477,127.86
203,日经225ETF易方达,513000,1.395,10029,10000,跨境，日本,0.25%,易方达基金,2019-06-25,日经225指数,4649.64,9100,10814,12215,10864,10000,7.67
204,双创50ETF,588380,0.49,9879,10051,宽基，中小盘,0.60%,富国基金,2021-07-06,科创创业50指数,3583.73,10187,9722,7967,10000,10000,20.29
205,标普ETF,159655,1.362,10015,10000,跨境，美国,0.75%,华夏基金,2022-10-25,标准普尔500指数,1446.69,9518,11046,13185,10000,10000,2.84
206,云计算50ETF,516630,0.882,9921,10020,主题，TMT，互联网,0.60%,华夏基金,2021-09-03,云计算指数,1533.27,10057,9877,7696,10000,10000,1.56
207,双碳ETF,561190,0.727,9932,10037,主题，环保，新兴产业,0.60%,富国基金,2022-07-19,SEEE碳中和指数,1494.27,10239,10867,8855,10000,10000,9.94
208,影视ETF,516620,0.895,9857,10052,主题，TMT，影视,0.60%,国泰基金,2021-11-05,中证影视指数,1555.4,9352,9323,7572,10000,10000,0.729
209,沪深300成长ETF,562310,0.72,9877,10043,策略，成长,0.60%,银华基金,2022-09-09,300成长指数,2516.28,10112,10014,8018,10000,10000,9.76
210,国企共赢ETF,159719,1.482,9966,9978,主题，国企,0.30%,平安基金,2021-12-28,富时中国国企开放共赢指数,1606.3,10263,11885,10601,10000,10000,1.77
211,央企科技ETF,560170,0.755,9869,10005,主题，央企，新兴产业,0.60%,南方基金,2023-07-06,央企科技引领指数,5830.29,9987,8914,10000,10000,10000,18.79
212,电池ETF,561910,0.458,9828,10064,主题，新兴产业，新能源车，电池,0.60%,招商基金,2021-08-12,CS电池指数,2026.46,10066,9463,7123,10000,10000,3.86
213,食品饮料ETF,159843,0.709,10000,10006,行业，食品饮料,0.60%,招商基金,2021-02-05,国证食品指数,1320.16,10187,10231,8678,7393,10000,2.2
214,1000ETF,159629,2.207,9910,9993,宽基，中小盘,0.60%,富国基金,2022-08-03,中证1000指数,21389.54,10091,9332,8225,10000,10000,61.96
215,央企红利ETF,561580,1.056,9991,10013,策略，红利，央企,0.60%,华泰柏瑞基金,2023-05-30,央企红利指数,3796.06,10262,11163,10000,10000,10000,4.45
216,恒生互联网ETF,159688,0.768,9871,10000,跨境，香港，互联网,0.65%,华安基金,2023-02-15,恒生互联网科技业指数,11094.28,10726,10608,9121,10000,10000,4.1
217,创新药ETF,515120,0.524,10000,10007,行业，医药,0.60%,广发基金,2021-01-04,CS创新药指数,8954.25,10077,8506,7683,4687,10000,31.81
218,证券ETF龙头,159993,0.917,9818,10000,行业，金融，证券,0.60%,鹏华基金,2020-02-07,证券龙头指数,5302.75,10144,9714,9179,8483,10000,12.36
219,国货ETF,561130,0.723,10000,10024,主题，国产品牌,0.60%,富国基金,2021-10-18,品牌工程指数,1433.24,10329,10299,8882,10000,10000,1.99
220,化工ETF,516020,0.637,9876,10013,行业，化工,0.60%,华宝基金,2021-03-08,细分化工指数,2318.26,10426,10408,8690,6931,10000,3.73
221,科创100ETF华夏,588800,0.792,9937,9990,宽基，中小盘，科创板,0.60%,华夏基金,2023-11-16,科创100指数,56094.92,10259,8462,10000,10000,10000,42.11
222,科创板ETF,588090,0.791,9875,9992,宽基，中小盘，科创板,0.60%,华泰柏瑞基金,2020-11-16,科创50指数,7385.15,10038,8978,7037,5808,10000,39.29
223,纳指ETF富国,513870,1.219,10000,10000,跨境，美国,0.60%,富国基金,2023-11-02,纳斯达克100指数,1187.43,9752,10582,10000,10000,10000,4.07
224,医疗50ETF,159847,0.387,9923,10002,行业，医药,0.20%,易方达基金,2021-07-19,中证医疗指数,1355.48,10078,8638,7220,10000,10000,5.74
225,稀有金属ETF,159608,0.546,9820,10028,主题，稀有金属,0.60%,广发基金,2021-12-23,CS稀金属指数,1397.4,10018,9545,7834,10000,10000,2.37
226,恒生科技ETF基金,513260,0.959,9958,10000,跨境，香港，科技,0.20%,汇添富基金,2022-09-13,恒生科技指数,5475.46,10573,10063,9866,10000,10000,7.22
227,能源ETF,561260,1.089,10018,10006,行业，资源，能源,0.60%,工银瑞信基金,2023-08-09,央企现代能源指数,2964.89,10206,11635,10000,10000,10000,2.99
228,深证100ETF,159901,2.505,9917,10029,宽基，大盘股,0.60%,易方达基金,2006-04-24,深证100指数,10924.26,10216,10254,8541,6303,10946,64.28
229,半导体设备ETF,561980,0.927,9883,10062,行业，半导体，芯片,0.60%,招商基金,2023-09-01,中证半导指数,2584.44,10076,9459,10000,10000,10000,1.07
230,中证500ETF易方达,510580,0.664,9940,10016,宽基，中小盘,0.20%,易方达基金,2015-09-14,中证500指数,1942.47,10311,10045,8913,9149,12374,24.78
231,深证50ETF富国,159350,1.062,9925,10020,策略，价值,0.60%,富国基金,2023-12-11,深证50指数,4587.22,10271,10620,10000,10000,10000,6.53
232,A50ETF,159601,0.754,9947,10033,MSCI,0.60%,华夏基金,2021-11-08,MSCI中国A50互联互通人民币指数,9858.96,10357,10928,9401,10000,10000,41.43
233,港股科技50ETF,513980,0.433,9908,10099,跨境，香港，科技,0.60%,景顺长城基金,2021-07-02,HKC科技人民币指数,28329.62,10561,9580,8660,10000,10000,28.75
234,恒生医药ETF,159892,0.44,9865,10000,跨境，香港，生物科技,0.65%,华夏基金,2021-10-19,恒生香港上市生物科技指数,30168.68,10000,8073,6759,10000,10000,24.35
235,中证100ETF,512910,0.913,9935,10021,宽基，大盘股,0.60%,广发基金,2019-07-01,中证100指数,1053.21,10213,10555,9125,7062,10000,6.58
236,科创50ETF龙头,588060,0.49,9879,10017,宽基，中小盘，科创板,0.60%,广发基金,2021-07-29,科创50指数,12156.09,10062,9024,7040,10000,10000,40.88
237,房地产ETF,159768,0.511,9642,10031,行业，金融，房地产,0.60%,银华基金,2022-02-16,内地地产指数,2963.91,9551,8795,6395,10000,10000,1.75
238,光伏50ETF,159864,0.504,9805,10017,主题，光伏，新兴产业,0.60%,国泰基金,2021-08-10,光伏产业指数,1967.77,9527,8936,6348,10000,10000,4.54
239,300增强ETF,561300,0.733,9959,10038,宽基，大盘股,1.10%,国泰基金,2021-12-10,沪深300指数,5542.24,10324,10701,9544,10000,10000,16.71
240,机器人ETF,159770,0.729,9865,10009,主题，新兴产业，机器人,0.60%,天弘基金,2021-11-08,机器人指数,1961.18,9878,9630,9078,10000,10000,6.82
241,300成长ETF,159656,0.769,9884,10026,策略，成长,0.60%,万家基金,2023-01-16,300成长指数,1456.74,10118,10013,8120,10000,10000,1.42
242,券商ETF,159842,0.837,9847,10020,行业，金融，证券,0.60%,银华基金,2021-03-19,证券公司指数,7323.64,10195,9699,9436,8523,10000,7.22
243,消费ETF,510150,0.532,10000,10004,行业，消费,0.60%,招商基金,2011-02-25,消费80指数,1931.81,10370,10076,8852,6480,12767,9.46
244,港股通央企红利ETF,513920,1.111,9982,10000,跨境，香港，央企,0.60%,华安基金,2024-01-05,恒生港股通中国央企红利指数,1429.74,10632,10000,10000,10000,10000,1.25
245,半导体设备ETF,159516,0.832,9811,10025,行业，半导体，芯片,0.60%,国泰基金,2023-07-27,半导体材料设备指数,6402.71,9940,9153,10000,10000,10000,7.1
246,银行ETF基金,512700,1.289,10055,10008,行业，金融，银行,0.60%,南方基金,2017-07-26,中证银行指数,7227.14,10480,11697,11102,9855,12764,13.09
247,碳中和50ETF,516070,0.425,9907,10053,主题，低碳,0.20%,易方达基金,2021-04-23,内地低碳指数,1128.05,10024,10071,7685,8333,10000,3.12
248,央企结构调整ETF,512960,1.213,9926,10007,主题，央企,0.20%,博时基金,2019-01-18,结构调整指数,1212.52,10066,10612,9447,10769,12186,51.71
249,光伏30ETF,560980,0.518,9737,10026,主题，光伏，新兴产业,0.60%,广发基金,2022-11-29,光伏龙头30指数,1172.28,9401,8825,5961,10000,10000,1.68
250,中证银行ETF,512730,1.249,10073,9996,行业，金融，银行,0.40%,鹏华基金,2020-02-07,中证银行指数,1223.75,10417,11640,11083,10297,10000,0.961
251,基建50ETF,159635,0.987,9870,10008,主题，基建,0.60%,华夏基金,2022-07-12,中证基建指数,1276.26,10346,11190,8343,10000,10000,1.07
