,name,code,index_name,index_id,市盈率,市盈率百分位
80,恒生ETF,159920,恒生指数,HSI.HI,9.11,0.20728155339805826
81,食品饮料ETF,515170,细分食品,000815.CSI,23.54,0.22347321733196862
82,食品ETF,515710,细分食品,000815.CSI,23.54,0.22347321733196862
83,生物医药ETF,512290,CS生医,930726.CSI,33.88,0.22373999057936883
84,金融科技ETF,159851,金融科技,930986.CSI,43.65,0.2258852258852259
85,医药ETF,159929,中证医药,000933.SH,28.86,0.22703302803219538
86,中证500ETF华夏,512500,中证500,000905.SH,23.63,0.23196783111334507
87,中证500ETF,159922,中证500,000905.SH,23.63,0.23196783111334507
88,中证500ETF鹏华,159982,中证500,000905.SH,23.63,0.23196783111334507
89,中证500ETF基金,510510,中证500,000905.SH,23.63,0.23196783111334507
90,500增强ETF,561550,中证500,000905.SH,23.63,0.23196783111334507
91,500ETF增强,159610,中证500,000905.SH,23.63,0.23196783111334507
92,中证500指数ETF,512510,中证500,000905.SH,23.63,0.23196783111334507
93,国泰中证500ETF,561350,中证500,000905.SH,23.63,0.23196783111334507
94,中证500ETF易方达,510580,中证500,000905.SH,23.63,0.23196783111334507
95,中证500ETF,510500,中证500,000905.SH,23.63,0.23196783111334507
96,电池ETF,159755,新能电池,980032.CNI,21.94,0.2320071524362986
97,电池30ETF,159757,新能电池,980032.CNI,21.94,0.2320071524362986
98,锂电池ETF,159840,新能电池,980032.CNI,21.94,0.2320071524362986
99,恒生医疗ETF,513060,医疗保健,h30178.CSI,38.0,0.23258469737342977
100,恒生医疗ETF,159506,医疗保健,h30178.CSI,38.0,0.23258469737342977
101,日经ETF,159866,日经225,N225.GI,17.41,0.23510380156376381
102,日经225ETF易方达,513000,日经225,N225.GI,17.41,0.23510380156376381
103,日经ETF,513520,日经225,N225.GI,17.41,0.23510380156376381
104,日经225ETF,513880,日经225,N225.GI,17.41,0.23510380156376381
105,疫苗ETF,159643,疫苗生科,980015.CNI,41.25,0.24631202503352703
106,红利ETF博时,515890,中证红利,000922.CSI,7.05,0.25193598347960766
107,中证红利ETF,515080,中证红利,000922.CSI,7.05,0.25193598347960766
108,红利ETF易方达,515180,中证红利,000922.CSI,7.05,0.25193598347960766
109,红利ETF基金,159581,中证红利,000922.CSI,7.05,0.25193598347960766
110,有色金属ETF,159871,中证有色,930708.CSI,22.18,0.25309278350515463
111,有色60ETF,159881,中证有色,930708.CSI,22.18,0.25309278350515463
112,金融ETF,510230,180金融,000018.SH,6.7,0.2552763819095477
113,中药ETF,560080,中证中药,930641.CSI,26.96,0.25849403122130393
114,中医药ETF,561510,中证中药,930641.CSI,26.96,0.25849403122130393
115,中药ETF,159647,中证中药,930641.CSI,26.96,0.25849403122130393
116,新材料50ETF,159761,新材料,H30597.CSI,23.83,0.27377377377377377
117,信息技术ETF,159939,全指信息,000993.SH,44.76,0.2745478036175711
118,信息技术ETF,562560,全指信息,000993.SH,44.76,0.2745478036175711
119,家电ETF,159996,家用电器,930697.CSI,16.0,0.27472014925373134
120,家电ETF龙头,560880,家用电器,930697.CSI,16.0,0.27472014925373134
121,家电ETF,561120,家用电器,930697.CSI,16.0,0.27472014925373134
122,国证2000ETF,159907,国证2000,399303.SZ,38.65,0.28175895765472314
123,国证2000ETF,159628,国证2000,399303.SZ,38.65,0.28175895765472314
124,H股ETF,510900,恒生中国企业指数,HSCEI.HI,8.05,0.3063106796116505
125,H股ETF,159954,恒生中国企业指数,HSCEI.HI,8.05,0.3063106796116505
126,恒生国企ETF,159850,恒生中国企业指数,HSCEI.HI,8.05,0.3063106796116505
127,5GETF,159994,5G通信,931079.CSI,29.24,0.3064913722267872
128,5G通信ETF,515050,5G通信,931079.CSI,29.24,0.3064913722267872
129,深红利ETF,159905,深证红利,399324.SZ,15.05,0.3071123397838653
130,红利ETF,159708,深证红利,399324.SZ,15.05,0.3071123397838653
131,稀有金属ETF,159608,CS稀金属,930632.CSI,27.45,0.30833799664241746
132,稀有金属ETF,562800,CS稀金属,930632.CSI,27.45,0.30833799664241746
133,稀有金属ETF基金,159671,CS稀金属,930632.CSI,27.45,0.30833799664241746
134,生物科技ETF,159837,中证生科,930743.CSI,43.42,0.3183111954459203
135,医疗器械ETF招商,159898,医疗器械,h30217.CSI,37.51,0.32165968785687094
136,医疗器械ETF,159883,医疗器械,h30217.CSI,37.51,0.32165968785687094
137,深证100ETF广发,159576,深证100,399330.SZ,19.67,0.3236180904522613
138,深证100ETF,159901,深证100,399330.SZ,19.67,0.3236180904522613
139,医药卫生ETF,159938,全指医药,000991.SH,32.59,0.3278423772609819
140,科技100ETF,515580,科技100,931187.CSI,22.58,0.33389121338912137
141,银行ETF基金,512700,中证银行,399986.SZ,5.42,0.33917015607156453
142,银行业ETF,512820,中证银行,399986.SZ,5.42,0.33917015607156453
143,银行ETF华夏,515020,中证银行,399986.SZ,5.42,0.33917015607156453
144,银行ETF易方达,516310,中证银行,399986.SZ,5.42,0.33917015607156453
145,银行ETF天弘,515290,中证银行,399986.SZ,5.42,0.33917015607156453
146,银行ETF,512800,中证银行,399986.SZ,5.42,0.33917015607156453
147,中证银行ETF,512730,中证银行,399986.SZ,5.42,0.33917015607156453
148,电子ETF,159997,CS电子,930652.CSI,39.91,0.34318706697459583
149,碳中和龙头ETF,159640,SEEE碳中和,931755.CSI,18.18,0.3534201954397394
150,碳中和100ETF,562990,SEEE碳中和,931755.CSI,18.18,0.3534201954397394
151,双碳ETF,561190,SEEE碳中和,931755.CSI,18.18,0.3534201954397394
152,双碳ETF,159641,SEEE碳中和,931755.CSI,18.18,0.3534201954397394
153,基本面50ETF,512750,基本面50,000925.CSI,8.58,0.35836269991867714
154,人工智能ETF,515980,人工智能,931071.CSI,44.28,0.3643939393939394
155,AI人工智能ETF,512930,人工智能,931071.CSI,44.28,0.3643939393939394
156,人工智能AIETF,515070,人工智能,931071.CSI,44.28,0.3643939393939394
157,人工智能ETF,159819,人工智能,931071.CSI,44.28,0.3643939393939394
158,科创ETF,588050,科创50,000688.SH,43.73,0.37273593898951385
159,科创50ETF,588000,科创50,000688.SH,43.73,0.37273593898951385
160,科创50ETF龙头,588060,科创50,000688.SH,43.73,0.37273593898951385
161,科创板50ETF,588080,科创50,000688.SH,43.73,0.37273593898951385
162,科创板ETF,588090,科创50,000688.SH,43.73,0.37273593898951385
163,科创50增强ETF,588460,科创50,000688.SH,43.73,0.37273593898951385
164,科创50ETF基金,588180,科创50,000688.SH,43.73,0.37273593898951385
165,科创50增强策略ETF,588370,科创50,000688.SH,43.73,0.37273593898951385
166,消费ETF龙头,560680,中证消费,000932.SH,27.81,0.3735775742436858
167,消费ETF,159928,中证消费,000932.SH,27.81,0.3735775742436858
168,红利50ETF,159758,红利质量,931468.CSI,19.29,0.38204592901878914
169,红利低波100ETF,515100,红利低波100,930955.CSI,6.5,0.3842042755344418
170,红利低波100ETF,159307,红利低波100,930955.CSI,6.5,0.3842042755344418
171,800ETF,515800,中证800,000906.SH,13.3,0.38467336683417086
172,中证800ETF,515810,中证800,000906.SH,13.3,0.38467336683417086
173,稀土ETF,159713,稀土产业,930598.CSI,35.61,0.38805220883534136
174,稀土ETF,516780,稀土产业,930598.CSI,35.61,0.38805220883534136
175,稀土ETF基金,516150,稀土产业,930598.CSI,35.61,0.38805220883534136
176,芯片ETF,159995,国证芯片,980017.CNI,64.23,0.393859649122807
177,芯片ETF龙头,159801,国证芯片,980017.CNI,64.23,0.393859649122807
178,半导体ETF,159813,国证芯片,980017.CNI,64.23,0.393859649122807
179,半导体龙头ETF,159665,国证芯片,980017.CNI,64.23,0.393859649122807
180,化工龙头ETF,516220,细分化工,000813.CSI,21.48,0.39519725557461405
181,化工ETF,159870,细分化工,000813.CSI,21.48,0.39519725557461405
182,化工ETF,516020,细分化工,000813.CSI,21.48,0.39519725557461405
183,化工50ETF,516120,细分化工,000813.CSI,21.48,0.39519725557461405
184,德国ETF,513030,德国DAX,GDAXI.GI,14.86,0.3960165545783756
185,德国ETF,159561,德国DAX,GDAXI.GI,14.86,0.3960165545783756
186,港股互联网ETF,159568,HKC互联网,931637.CSI,31.67,0.40375
187,港股通互联网ETF,159792,HKC互联网,931637.CSI,31.67,0.40375
188,港股通互联网ETF,513040,HKC互联网,931637.CSI,31.67,0.40375
189,港股互联网ETF,513770,HKC互联网,931637.CSI,31.67,0.40375
190,沪深300增强ETF,561990,沪深300,000300.SH,12.06,0.4084507042253521
191,工银沪深300ETF,510350,沪深300,000300.SH,12.06,0.4084507042253521
192,沪深300ETF基金,510360,沪深300,000300.SH,12.06,0.4084507042253521
193,沪深300ETF华夏,510330,沪深300,000300.SH,12.06,0.4084507042253521
194,沪深300ETF泰康,515380,沪深300,000300.SH,12.06,0.4084507042253521
195,沪深300ETF,159919,沪深300,000300.SH,12.06,0.4084507042253521
196,沪深300ETF南方,159925,沪深300,000300.SH,12.06,0.4084507042253521
197,300增强ETF,561300,沪深300,000300.SH,12.06,0.4084507042253521
198,300ETF天弘,515330,沪深300,000300.SH,12.06,0.4084507042253521
199,沪深300ETF易方达,510310,沪深300,000300.SH,12.06,0.4084507042253521
200,沪深300ETF,510300,沪深300,000300.SH,12.06,0.4084507042253521
