,指数代码,指数简称,样本数,收盘点位,涨跌幅,PE滚动,成交量,成交额,总市值,自由流通市值
780,487013,港股大盘R（人民币）,100,1145.123,-0.0009,,58702.93503,614.6540592465,201818.5965202852,110168.3240869227
781,487014,港股中盘R,200,1229.1765,0.0009,,42157.02479,248.06634686310002,46920.609481461,23159.170166967404
782,487015,港股中盘R（人民币）,200,1274.1849,0.0008,,42157.02479,229.6623045893,43439.569464031,21440.9913322795
783,487016,港股通红利低波R,30,1865.7736,0.0076,,30128.3267,194.9368148384,61591.9452587396,1461.3415898520002
784,487017,港股通红利低波R（人民币）,30,2213.1166,0.0076,,30128.3267,180.4744525455,57022.4388399935,1352.9246573008
785,487018,港股通创新药R,50,1015.2124,-0.0124,,3162.48379,32.5900310961,7639.7895992876,3494.0349617197
786,487019,港股通创新药R（人民币）,50,1072.9789,-0.0125,,3162.48379,30.1721766891,7072.9936089166,3234.8125079096003
787,487020,内房股R,30,732.23,-0.0025,,15202.67601,52.7562377741,7691.449426528299,1839.9465694039002
788,487021,内房股R（人民币）,30,868.5465,-0.0026,,15202.67601,48.84225249359999,7120.8207935742,1703.4409334197
789,487022,港股通文体娱乐R,30,1533.1261,-0.0048,,4297.93437,152.89533281200002,56366.7268713894,11909.100599353402
790,487023,港股通文体娱乐R（人民币）,30,1818.5427,-0.0049,,4297.93437,141.5520280706,52184.8794048012,11025.5644258873
791,487024,港股通新国货R,50,1639.1269,0.0015,,6678.39977,123.90248399,29192.8746016406,16292.260134381699
792,487025,港股通新国货R（人民币）,50,1923.6624,0.0014,,6678.39977,114.7101587028,27027.055234944903,15083.5373550122
793,487026,港股通新能源R,50,1841.9062,-0.0068,,7088.86156,68.0199546013,9795.3220752697,2038.3783628454999
794,487027,港股通新能源R（人民币）,50,1941.5407,-0.0069,,7088.86156,62.973554169399996,9068.607130505201,1887.1510721057
795,AITCNYG,中华陆股通行业龙头R,50,5386.3499,-0.0035,14.5903,41150.73359,761.3428624147,156630.2725921424,58554.0662457238
796,BNRCNYG,中华一带一路R,50,2967.7066,0.0009,,34130.65902,718.3227897849,158520.7719866567,60514.7712516554
797,CN2008,中小300R,300,1330.4773,-0.0089,18.4767,102528.10505,1202.7019397997,79691.4201079079,40931.8313033752
798,CN2010,深证700R,700,6887.1548,-0.0088,23.7295,164464.79351,1657.7463055498001,68639.1677440964,36298.567223207596
799,CN2011,深证1000R,1000,5655.3743,-0.008,19.6134,290967.05494,3628.3878893999,231339.3421368518,119657.288547253
800,CN2012,创业300R,300,2845.9227,-0.0101,27.8295,56048.66227,1045.3785534896,68141.1958784962,36629.291392744104
801,CN2013,深市精选R,0,5556.1813,-0.0061,17.2711,165263.21632,2231.7360709426002,144725.8095321385,72489.45036492009
802,CN2015,中小创新R,500,2226.6786,-0.0094,23.4262,109285.9119,1049.679455154,39690.321804215,21104.0552933142
803,CN2016,深证创新R,100,3919.6742,-0.0085,23.2307,34500.51216,708.896684563,55977.1391109253,1375.5029740178
804,CN2017,SME创新R,100,3505.3348,-0.0092,20.7749,30291.80415,533.7280642404,35059.2660143627,1426.3253624653
