,指数代码,指数简称,样本数,收盘点位,涨跌幅,PE滚动,成交量,成交额,总市值,自由流通市值
534,CN2310,国证50,50,6383.4025,-0.0078,,31018.7909,737.7788764624,196237.96760469608,85036.8485620951
535,CN5074,财富管理,50,4593.2105,-0.0072,7.9439,19418.40305,195.9276130684,45735.0347405901,9640.4579734818
536,CN5075,国证信创,50,4684.4047,-0.0208,37.2619,10258.66188,342.08197101720003,24836.0288478498,10896.61800403
537,CN5077,国证电影,0,1305.0426,-0.0264,37.4505,6241.49031,61.102001219899996,2424.1970961776997,1115.7216721734
538,CN5079,国证中药,50,8425.3902,0.0044,21.4253,4609.05848,76.9060129061,8997.742626675501,4531.5644764879
539,CN5082,国证航天,0,4487.954,-0.0184,42.7232,5934.18163,98.0300364683,7286.3859618819,3528.2565992328005
540,CN5084,电信服务,0,2175.5264,-0.0208,18.4192,3320.53182,25.3806778525,7422.9475978604005,175.09053495759997
541,CN5085,服装纺织,0,1258.5765,0.0131,16.2134,9392.47496,68.9610571243,5817.3580195311,2244.4963041073997
542,CN5086,工业服务,0,2136.2326,0.0029,8.6564,30854.47408,232.8117143709,20088.9979171132,8694.0543204692
543,CN5090,国证化工,0,3189.9927,0.002,20.2836,27695.86672,309.1246676864,26313.2981232093,13006.174087066202
544,CN5093,国证零售,0,1231.6654,0.0038,25.9975,7368.69392,43.24765715,2572.6043780294,1279.0171278846
545,CN5094,耐用消费,0,7976.4652,-0.0004,15.1989,8789.33847,138.0862772692,16875.8821697507,6781.8588677355
546,CN5095,食品零售,0,1752.885,0.008,27.6856,1490.14567,7.1935412557000005,634.0481487389,223.56164806310002
547,CN5097,消费服务,0,4748.1397,-0.0111,34.6051,4155.19043,52.402983346000006,3682.3529942922996,1352.1617998991
548,CN5099,国证制药,0,5837.2747,0.0016,22.9121,12013.44867,197.0129135835,21667.4817839543,11557.017069257
549,CN5100,白色家电,0,35667.8395,-0.0061,13.3391,4023.13337,75.8735257012,10631.6603477649,263.4035478843
550,CN5101,国证百货,0,1599.7893,0.0078,23.2833,3429.63046,21.1925829933,1320.0593824279,635.7748359891
551,CN5105,路桥港口,0,2273.7343,0.0073,12.8679,6547.39799,38.8514276694,8326.0815779026,1981.3517470738
552,CN5106,酒店餐饮,0,7767.2512,-0.0083,33.3473,2418.4099,42.9293971222,3143.8068269836,880.1308758082
553,CN5111,定增综指,0,1858.7397,-0.0091,19.4069,43838.63501,544.382948977,25391.015771635,12508.9771754247
554,CN5122,中小能源,0,1579.6357,0.0174,5.1341,918.49613,5.3576771480000005,371.57535236940004,144.48008598360002
555,CN5123,中小材料,0,2658.5798,0.0089,23.7022,20201.88672,195.68669527650002,6153.198111709301,3286.1708674577003
556,CN5124,中小工业,0,1519.8956,-0.0162,21.9649,25126.02533,257.1139915111,10461.7931137351,5405.4357037824
557,CN5125,中小可选,0,1313.0993,-0.0163,24.4957,14799.94694,125.50422457299999,4607.6076713854,2460.6520280353
558,CN5126,中小消费,0,2785.5279,0.0109,24.3961,2658.96773,29.5342236433,2165.4952590473,1041.8858351242
559,CN5127,中小医药,0,2066.6094,-0.0034,21.7317,4383.3783,52.364168094600004,4316.8239682591,2161.1888459929
560,CN5128,中小金融,0,1926.8564,-0.0036,6.2373,455.24383,2.2538267818,310.1645625624,181.59253721669998
561,CN5129,中小信息,0,2933.6699,-0.0272,40.582,20410.08889,263.00467282110003,8114.7733976349,5098.6434495903995
562,CN5130,中小电信,0,2644.8487,-0.0249,49.6137,4111.78334,60.3850494729,1762.1574242276001,961.3210856553999
563,CN5131,中小公用,0,1546.8405,0.003,19.2025,1099.58933,8.2797945786,947.4299970894999,334.06462074
564,CN5138,大盘红利,50,6815.2532,0.0024,13.772,9054.46964,131.5652177525,17787.8256238085,446.1865918147
565,CN5139,稳进价值,50,6375.1728,-0.0223,48.3773,7084.3858,74.0604136482,2116.694989917,297.9320115557
566,CN5140,先锋成长,50,39485.8593,-0.0149,29.0958,4235.23908,45.558527859399994,1164.842794419,243.3016420393
567,CN5141,优势价值,50,6623.2395,-0.0098,13.037,7334.05125,168.1336432021,8179.8268950238,423.1342763711
568,CN6027,西藏指数,0,3173.4768,0.003,27.7211,2688.52938,41.1776118719,2116.1305834104,920.2741307658999
569,470006,创业板R(港币)(CNH),100,1878.7243,-0.0094,25.828,15093.66457,566.8286246117,51765.660650380196,27706.051825206898
570,470007,创业板R(美元)(CNH),100,1868.6362,-0.0097,25.828,15093.66457,72.4073788525,6612.6085372463,3539.2048035496996
571,470026,深指ESGR,400,13086.436,-0.0044,18.4614,125961.69759,1861.8196480188,169774.12787776222,87620.13831686889
572,470027,100ESGR,80,5877.1649,-0.0052,17.432,34087.01357,633.3299137775,93510.6184516834,46640.0057789085
573,470028,创指ESGR,80,2147.8129,-0.0109,25.3525,12857.63641,436.48426057800003,43265.926747985,22891.952876093997
574,470029,深指ESG领先R,200,13241.4622,-0.0059,18.772,70143.02056,1067.575250608,118765.29740053641,60137.6976054375
575,470030,100ESG领先R,50,6237.553,-0.0085,20.1723,19357.58125,390.1283757635,51911.2780995214,25392.5239157416
576,470031,创指ESG领先R,50,2306.2225,-0.0092,24.8078,8298.88564,292.4831804282,34482.7318884765,16320.5892719398
577,470032,深指ESG增强R,200,1202.859,-0.0065,16.826,56785.96539,1192.0020546486999,121016.4274911138,15475.9086946922
578,470033,100ESG增强R,40,1227.9403,-0.0063,16.3587,11957.34554,384.7026021144,63181.4639476469,10246.594081642399
579,470034,创指ESG增强R,40,1738.152,-0.0105,22.7374,6886.80884,276.4584990513,30829.5341114569,5179.9305879375
580,470035,深证光伏R,50,2835.2641,-0.0111,15.1854,5988.12317,98.3952420466,8705.3619819139,4698.8288526863
581,470036,深证储能R,50,6355.9457,-0.0117,18.4289,17069.68631,396.91715820089996,24004.9935772352,10135.5324541153
582,470037,深证高装R,50,2212.1065,-0.0112,25.7177,10188.06367,177.7742301174,11154.634940288899,6645.1393210399
583,470038,生物经济R,50,2482.7998,-0.0054,24.6018,5617.06811,138.5404154581,19375.9352993353,6599.4417485413
584,470039,创新材料R,50,3298.714,-0.0042,20.3163,10698.09264,199.3718388515,14679.953001823502,3886.5143975721003
585,470040,创业高装R,50,2874.8905,-0.0141,28.9621,7376.8501,113.72536418860001,5432.4329228207,2524.2916674149
586,470041,创新消费R,50,2303.3754,-0.0163,37.9997,14667.0625,185.0816190575,9516.17115979,4114.2819674086995
587,470042,新材料50R,50,2663.6872,-0.0032,18.5014,16807.0729,339.3196525927,23370.9853553242,9048.1196939285
588,470043,新能装备R,50,4116.628,-0.0111,17.1727,15138.10688,323.563346492,22236.3068048989,9208.5868519479
589,470046,深证XR R,50,1572.8753,-0.0082,27.9832,29414.31735,300.9306268168,13378.978408703899,8726.4860175919
590,470047,数字文化R,50,859.791,-0.0243,26.9668,18386.87553,198.17514769669998,7231.3141547493005,4471.7104465255
591,470048,新型显示R,50,1220.7857,0.0002,30.607,22534.1941,185.6370782738,8557.7792964218,5284.696450506
592,470049,深证数字交通R,50,3635.7655,-0.0189,25.449,12204.4009,212.4952391059,14406.9442488603,3440.2733434790002
593,470050,深证卫星导航R,50,2631.0544,-0.0226,48.5358,9455.43839,133.3658478056,4338.3014678424,2739.0979735447
594,470051,深证算力设施R,50,6356.2582,-0.0281,34.5768,13084.43283,361.44481374139997,16199.873305628898,6772.3830867734
595,470052,深证数字安全R,50,2570.8242,-0.0309,41.7385,8616.55648,121.8994408934,4841.1206601284,2667.2592637584
596,470053,深证数据要素R,50,2814.8203,-0.0276,35.4894,11929.35992,231.58967781709998,13202.6384934938,5448.7883173341
597,470054,深证智能电网R,50,2476.3283,-0.0199,22.7045,8367.0773,86.0185198842,5720.8758976641,2900.5937584226
598,470055,深证国企ESGR,50,1411.6252,-0.0049,21.7121,19680.35214,238.40097414459999,29870.4154081329,10978.9566573744
599,470056,深证民企ESGR,50,1457.4405,-0.0032,17.377,9514.79871,264.67800842369996,34055.6174017561,14696.0537250692
600,470057,深证民企50R,50,2204.4139,-0.0086,19.9601,15300.15519,512.3970206666,51204.3366118734,30207.633972106803
601,470058,深证民企治理R,50,1406.5671,-0.0053,19.4068,12276.58866,305.6479779966,28405.1290183348,5790.308620915401
