,ETF名称,ETF代码,标签,平均成交额,指数名称,指数代码,市盈率,市盈率百分位
83,恒生医疗ETF,513060,跨境，香港，医药，医疗保健,76501.34,医疗保健,h30178.CSI,32.92,0.1655430711610487
84,国防ETF,512670,行业，军工,8643.76,中证国防指数,399973,34.12,
85,创新药ETF,159992,行业，医药,21537.51,CS创新药,931152.CSI,34.8,0.20981789390340458
86,金融科技ETF,159851,主题，金融科技,2650.56,金融科技,930986.CSI,36.06,0.024390243902439025
87,钢铁ETF,515210,行业，钢铁,8552.23,中证钢铁,930606.CSI,36.49,0.8251633986928104
88,科创新材料ETF,588010,主题，新材料，科创板,1213.05,科创材料,000689,36.68,
89,疫苗ETF,159643,行业，医药，生物科技,1140.1,疫苗生科,980015.CNI,36.89,0.22280701754385965
90,生物科技ETF,159837,主题，新兴产业，生物科技,1787.86,中证生科,930743.CSI,37.75,0.16689911668991167
91,纳指ETF,159941,跨境，美国,70806.32,纳斯达克100,NDX.GI,37.88,0.9716374269005847
92,消费电子ETF,159732,主题，消费电子,3022.97,消费电子,931494.CSI,37.99,0.6416243654822334
93,电子ETF,515260,行业，电子,1196.36,电子50,931461.CSI,38.47,0.791907514450867
94,人工智能ETF,159819,主题，新兴产业，人工智能,44539.32,人工智能,931071.CSI,39.9,0.20616287600880412
95,电子ETF,159997,行业，电子,4996.97,CS电子,930652.CSI,40.48,0.3713768115942029
96,科创信息技术ETF,588100,行业，信息技术，科创板,3092.39,科创信息,000682,42.41,
97,信息技术ETF,159939,行业，信息技术,3492.29,全指信息,000993.SH,44.89,0.2822554953806945
98,计算机ETF,512720,行业，计算机,8321.53,CS计算机,930651.CSI,47.24,0.24864130434782608
99,数字经济ETF,560800,主题，数字经济,3583.76,数字经济,931582.CSI,47.53,0.503945885005637
100,军工ETF,512660,行业，军工,28123.8,中证军工,399967.SZ,50.77,0.07033997655334115
101,中韩半导体ETF,513310,跨境，韩国,8995.23,中韩半导体,931790.CSI,63.37,0.8555194805194806
102,芯片ETF,159995,行业，半导体，芯片,33294.77,国证芯片,980017.CNI,66.56,0.43110735418427726
103,云计算ETF,516510,主题，TMT，互联网,12532.87,云计算,930851.CSI,69.03,0.6880496637351268
104,半导体设备ETF,561980,行业，半导体，芯片,2584.44,中证半导,931865.CSI,72.38,0.5649805447470817
105,教育ETF,513360,跨境，教育,13335.87,中国教育,931456.CSI,85.54,0.5182341650671785
106,芯片产业ETF,159310,行业，半导体，芯片,10602.73,芯片产业,H30007.CSI,85.69,0.8480890179003386
107,农业ETF,159825,行业，农业,10731.48,中证农业,000949.CSI,91.96,0.9703196347031964
108,科创芯片ETF,588200,行业，半导体，芯片，科创板,25067.03,科创芯片,000685.SH,111.0,0.7888446215139442
109,软件ETF,515230,主题，新兴产业，软件,5126.54,软件指数,h30202.CSI,116.07,0.7853932584269663
110,旅游ETF,159766,主题，旅游,12068.75,中证旅游,930633.CSI,230.42,0.9766822118587608
111,养殖ETF,159865,行业，畜牧养殖,16502.16,中证畜牧,930707.CSI,396.86,0.9983079526226735
112,香港科技ETF,159747,跨境，香港，科技,4378.68,港股科技,987006,,
113,港股创新药ETF,159567,跨境，香港，医药,6436.01,港股通创新药,987018,,
114,港股通科技30ETF,159636,跨境，香港，科技,12773.56,港股通科技,987008,,
115,港股通50ETF,513550,跨境，香港,15424.26,港股通50,987003,,
