,ETF名称,ETF代码,标签,平均成交额,指数名称,指数代码,市盈率,市盈率百分位,数据类型
0,有色ETF大成,159980,商品，有色金属,35219.2,金属指数,CN6052,40.2435,0.7660818713450293,PE
1,金ETF嘉实,159831,商品，黄金,16049.24,上海金,SHAU,984.86,0.9602385685884692,点位
2,黄金ETF华安,518880,商品，黄金,567201.2,黄金9999指数,AU9999,984.86,0.9602385685884692,点位
3,豆粕ETF华夏,159985,商品，农产品,40132.06,大商所豆粕期货价格指数,M9999,3232.0,0.6631858743117525,点位
4,能源化工ETF建信,159981,商品，化工,34793.67,易盛能化A,ICEA,,,
