日期,指数代码,指数名称,市盈率,数据源
2012-04-11,000815,细分食品,28.55,韭圈儿
2012-04-12,000815,细分食品,29.1,韭圈儿
2012-04-13,000815,细分食品,28.98,韭圈儿
2012-04-16,000815,细分食品,28.98,韭圈儿
2012-04-17,000815,细分食品,28.65,韭圈儿
2012-04-18,000815,细分食品,28.99,韭圈儿
2012-04-19,000815,细分食品,28.64,韭圈儿
2012-04-20,000815,细分食品,27.85,韭圈儿
2012-04-23,000815,细分食品,26.67,韭圈儿
2012-04-24,000815,细分食品,26.4,韭圈儿
2012-04-25,000815,细分食品,26.47,韭圈儿
2012-04-26,000815,细分食品,25.96,韭圈儿
2012-04-27,000815,细分食品,26.09,韭圈儿
2012-05-02,000815,细分食品,26.34,韭圈儿
2012-05-03,000815,细分食品,26.66,韭圈儿
2012-05-04,000815,细分食品,27.29,韭圈儿
2012-05-07,000815,细分食品,27.48,韭圈儿
2012-05-08,000815,细分食品,27.27,韭圈儿
2012-05-09,000815,细分食品,26.97,韭圈儿
2012-05-10,000815,细分食品,26.93,韭圈儿
2012-05-11,000815,细分食品,26.86,韭圈儿
2012-05-14,000815,细分食品,26.33,韭圈儿
2012-05-15,000815,细分食品,26.5,韭圈儿
2012-05-16,000815,细分食品,26.07,韭圈儿
2012-05-17,000815,细分食品,26.23,韭圈儿
2012-05-18,000815,细分食品,25.89,韭圈儿
2012-05-21,000815,细分食品,26.56,韭圈儿
2012-05-22,000815,细分食品,27.05,韭圈儿
2012-05-23,000815,细分食品,27.16,韭圈儿
2012-05-24,000815,细分食品,26.24,韭圈儿
2012-05-25,000815,细分食品,25.88,韭圈儿
2012-05-28,000815,细分食品,26.36,韭圈儿
2012-05-29,000815,细分食品,26.48,韭圈儿
2012-05-30,000815,细分食品,26.49,韭圈儿
2012-05-31,000815,细分食品,26.79,韭圈儿
2012-06-01,000815,细分食品,27.03,韭圈儿
2012-06-04,000815,细分食品,26.55,韭圈儿
2012-06-05,000815,细分食品,26.7,韭圈儿
2012-06-06,000815,细分食品,26.5,韭圈儿
2012-06-07,000815,细分食品,26.52,韭圈儿
2012-06-08,000815,细分食品,26.34,韭圈儿
2012-06-11,000815,细分食品,26.28,韭圈儿
2012-06-12,000815,细分食品,26.19,韭圈儿
2012-06-13,000815,细分食品,26.83,韭圈儿
2012-06-14,000815,细分食品,27.22,韭圈儿
2012-06-15,000815,细分食品,27.02,韭圈儿
2012-06-18,000815,细分食品,27.24,韭圈儿
2012-06-19,000815,细分食品,26.94,韭圈儿
2012-06-20,000815,细分食品,26.84,韭圈儿
2012-06-21,000815,细分食品,26.47,韭圈儿
2012-06-25,000815,细分食品,26.17,韭圈儿
2012-06-26,000815,细分食品,25.95,韭圈儿
2012-06-27,000815,细分食品,26.23,韭圈儿
2012-06-28,000815,细分食品,26.05,韭圈儿
2012-06-29,000815,细分食品,26.53,韭圈儿
2012-07-02,000815,细分食品,27.22,韭圈儿
2012-07-03,000815,细分食品,27.78,韭圈儿
2012-07-04,000815,细分食品,27.8,韭圈儿
2012-07-05,000815,细分食品,27.39,韭圈儿
2012-07-06,000815,细分食品,28.57,韭圈儿
2012-07-09,000815,细分食品,28.23,韭圈儿
2012-07-10,000815,细分食品,27.86,韭圈儿
2012-07-11,000815,细分食品,28.57,韭圈儿
2012-07-12,000815,细分食品,28.7,韭圈儿
2012-07-13,000815,细分食品,28.94,韭圈儿
2012-07-16,000815,细分食品,28.56,韭圈儿
2012-07-17,000815,细分食品,27.88,韭圈儿
2012-07-18,000815,细分食品,27.36,韭圈儿
2012-07-19,000815,细分食品,27.4,韭圈儿
2012-07-20,000815,细分食品,27.06,韭圈儿
2012-07-23,000815,细分食品,26.7,韭圈儿
