日期,指数代码,指数名称,标签,市盈率,数据源
2024-09-02,992,全指金融,行业，金融,7.34,中证指数
2024-09-03,992,全指金融,行业，金融,7.24,中证指数
2024-09-04,992,全指金融,行业，金融,7.21,中证指数
2024-09-05,992,全指金融,行业，金融,7.22,中证指数
2024-09-06,992,全指金融,行业，金融,7.23,中证指数
2024-09-09,992,全指金融,行业，金融,7.17,中证指数
2024-09-10,992,全指金融,行业，金融,7.2,中证指数
2024-09-11,992,全指金融,行业，金融,7.08,中证指数
2024-09-12,992,全指金融,行业，金融,7.11,中证指数
2024-09-13,992,全指金融,行业，金融,7.1,中证指数
2024-09-16,992,全指金融,行业，金融,7.1,中证指数
2024-09-17,992,全指金融,行业，金融,7.1,中证指数
2024-09-18,992,全指金融,行业，金融,7.19,中证指数
2024-09-19,992,全指金融,行业，金融,7.22,中证指数
2024-09-20,992,全指金融,行业，金融,7.25,中证指数
2024-09-23,992,全指金融,行业，金融,7.33,中证指数
2024-09-24,992,全指金融,行业，金融,7.67,中证指数
2024-09-25,992,全指金融,行业，金融,7.8,中证指数
2024-09-26,992,全指金融,行业，金融,8.11,中证指数
2024-09-27,992,全指金融,行业，金融,8.22,中证指数
