日期,指数代码,指数名称,市盈率,数据源
2014-10-17,000852,中证1000,63.57,韭圈儿
2014-10-20,000852,中证1000,64.51,韭圈儿
2014-10-21,000852,中证1000,64.06,韭圈儿
2014-10-22,000852,中证1000,63.34,韭圈儿
2014-10-23,000852,中证1000,62.08,韭圈儿
2014-10-24,000852,中证1000,62.27,韭圈儿
2014-10-27,000852,中证1000,62.5,韭圈儿
2014-10-28,000852,中证1000,63.7,韭圈儿
2014-10-29,000852,中证1000,64.44,韭圈儿
2014-10-30,000852,中证1000,64.08,韭圈儿
2014-10-31,000852,中证1000,63.56,韭圈儿
2014-11-03,000852,中证1000,64.25,韭圈儿
2014-11-04,000852,中证1000,63.85,韭圈儿
2014-11-05,000852,中证1000,63.84,韭圈儿
2014-11-06,000852,中证1000,64.64,韭圈儿
2014-11-07,000852,中证1000,64.16,韭圈儿
2014-11-10,000852,中证1000,64.36,韭圈儿
2014-11-11,000852,中证1000,62.14,韭圈儿
2014-11-12,000852,中证1000,63.16,韭圈儿
2014-11-13,000852,中证1000,62.11,韭圈儿
2014-11-14,000852,中证1000,61.96,韭圈儿
2014-11-17,000852,中证1000,62.93,韭圈儿
2014-11-18,000852,中证1000,63.32,韭圈儿
2014-11-19,000852,中证1000,63.85,韭圈儿
2014-11-20,000852,中证1000,63.75,韭圈儿
2014-11-21,000852,中证1000,64.35,韭圈儿
2014-11-24,000852,中证1000,64.9,韭圈儿
2014-11-25,000852,中证1000,65.94,韭圈儿
2014-11-26,000852,中证1000,66.38,韭圈儿
2014-11-27,000852,中证1000,66.8,韭圈儿
2014-11-28,000852,中证1000,66.89,韭圈儿
2014-12-01,000852,中证1000,65.92,韭圈儿
2014-12-02,000852,中证1000,66.57,韭圈儿
2014-12-03,000852,中证1000,67.16,韭圈儿
2014-12-04,000852,中证1000,68.09,韭圈儿
2014-12-05,000852,中证1000,66.75,韭圈儿
2014-12-08,000852,中证1000,66.75,韭圈儿
2014-12-09,000852,中证1000,63.64,韭圈儿
2014-12-10,000852,中证1000,65.81,韭圈儿
2014-12-11,000852,中证1000,66.77,韭圈儿
2014-12-12,000852,中证1000,67.63,韭圈儿
2014-12-15,000852,中证1000,61.54,韭圈儿
2014-12-16,000852,中证1000,61.32,韭圈儿
2014-12-17,000852,中证1000,60.6,韭圈儿
2014-12-18,000852,中证1000,60.5,韭圈儿
2014-12-19,000852,中证1000,59.62,韭圈儿
2014-12-22,000852,中证1000,56.62,韭圈儿
2014-12-23,000852,中证1000,55.75,韭圈儿
2014-12-24,000852,中证1000,56.95,韭圈儿
2014-12-25,000852,中证1000,57.56,韭圈儿
2014-12-26,000852,中证1000,57.69,韭圈儿
2014-12-29,000852,中证1000,56.5,韭圈儿
2014-12-30,000852,中证1000,55.47,韭圈儿
2014-12-31,000852,中证1000,56.25,韭圈儿
2015-01-05,000852,中证1000,56.4,韭圈儿
2015-01-06,000852,中证1000,57.59,韭圈儿
2015-01-07,000852,中证1000,57.57,韭圈儿
2015-01-08,000852,中证1000,57.55,韭圈儿
2015-01-09,000852,中证1000,57.22,韭圈儿
2015-01-12,000852,中证1000,56.66,韭圈儿
2015-01-13,000852,中证1000,57.66,韭圈儿
2015-01-14,000852,中证1000,57.42,韭圈儿
2015-01-15,000852,中证1000,57.67,韭圈儿
2015-01-16,000852,中证1000,58.49,韭圈儿
2015-01-19,000852,中证1000,57.24,韭圈儿
2015-01-20,000852,中证1000,59.43,韭圈儿
2015-01-21,000852,中证1000,60.64,韭圈儿
2015-01-22,000852,中证1000,61.54,韭圈儿
2015-01-23,000852,中证1000,60.84,韭圈儿
2015-01-26,000852,中证1000,62.35,韭圈儿
2015-01-27,000852,中证1000,62.79,韭圈儿
2015-01-28,000852,中证1000,62.48,韭圈儿
2015-01-29,000852,中证1000,62.36,韭圈儿
2015-01-30,000852,中证1000,61.66,韭圈儿
2015-02-02,000852,中证1000,61.43,韭圈儿
2015-02-03,000852,中证1000,62.62,韭圈儿
2015-02-04,000852,中证1000,62.65,韭圈儿
2015-02-05,000852,中证1000,62.64,韭圈儿
2015-02-06,000852,中证1000,61.5,韭圈儿
2015-02-09,000852,中证1000,61.01,韭圈儿
2015-02-10,000852,中证1000,61.76,韭圈儿
2015-02-11,000852,中证1000,62.54,韭圈儿
