日期,指数代码,指数名称,市盈率,数据源
2015-02-13,H30597,新材料,102.42,韭圈儿
2015-02-16,H30597,新材料,104.04,韭圈儿
2015-02-17,H30597,新材料,99.89,韭圈儿
2015-02-25,H30597,新材料,99.43,韭圈儿
2015-02-26,H30597,新材料,102.57,韭圈儿
2015-02-27,H30597,新材料,102.22,韭圈儿
2015-03-02,H30597,新材料,102.03,韭圈儿
2015-03-03,H30597,新材料,102.02,韭圈儿
2015-03-04,H30597,新材料,102.19,韭圈儿
2015-03-05,H30597,新材料,101.78,韭圈儿
2015-03-06,H30597,新材料,102.7,韭圈儿
2015-03-09,H30597,新材料,103.01,韭圈儿
2015-03-10,H30597,新材料,103.74,韭圈儿
2015-03-11,H30597,新材料,103.52,韭圈儿
2015-03-12,H30597,新材料,103.86,韭圈儿
2015-03-13,H30597,新材料,104.55,韭圈儿
2015-03-16,H30597,新材料,106.95,韭圈儿
2015-03-17,H30597,新材料,111.58,韭圈儿
2015-03-18,H30597,新材料,113.09,韭圈儿
2015-03-19,H30597,新材料,114.16,韭圈儿
2015-03-20,H30597,新材料,114.78,韭圈儿
2015-03-23,H30597,新材料,120.34,韭圈儿
2015-03-24,H30597,新材料,118.9,韭圈儿
2015-03-25,H30597,新材料,116.75,韭圈儿
2016-03-18,H30597,新材料,111.54,韭圈儿
2016-03-21,H30597,新材料,113.72,韭圈儿
2016-03-22,H30597,新材料,113.2,韭圈儿
2016-03-23,H30597,新材料,118.1,韭圈儿
2016-03-24,H30597,新材料,118.08,韭圈儿
2016-03-25,H30597,新材料,122.4,韭圈儿
2016-03-28,H30597,新材料,123.55,韭圈儿
2016-03-29,H30597,新材料,122.78,韭圈儿
2016-03-30,H30597,新材料,127.31,韭圈儿
2016-03-31,H30597,新材料,294.79,韭圈儿
2016-04-01,H30597,新材料,296.87,韭圈儿
2016-04-05,H30597,新材料,339.53,韭圈儿
2016-04-06,H30597,新材料,340.23,韭圈儿
2016-04-07,H30597,新材料,334.26,韭圈儿
2016-04-08,H30597,新材料,364.76,韭圈儿
2016-04-11,H30597,新材料,373.92,韭圈儿
2016-04-12,H30597,新材料,258.21,韭圈儿
2016-04-13,H30597,新材料,265.22,韭圈儿
2016-04-14,H30597,新材料,265.9,韭圈儿
2016-04-15,H30597,新材料,381.19,韭圈儿
2016-04-18,H30597,新材料,462.87,韭圈儿
2016-04-19,H30597,新材料,459.84,韭圈儿
2016-04-20,H30597,新材料,428.15,韭圈儿
2016-04-21,H30597,新材料,430.96,韭圈儿
2016-04-22,H30597,新材料,414.82,韭圈儿
2016-04-25,H30597,新材料,352.52,韭圈儿
2016-04-26,H30597,新材料,325.08,韭圈儿
2016-04-27,H30597,新材料,279.85,韭圈儿
2016-04-28,H30597,新材料,369.15,韭圈儿
2016-04-29,H30597,新材料,1358.06,韭圈儿
2016-05-03,H30597,新材料,757.63,韭圈儿
2016-05-04,H30597,新材料,757.78,韭圈儿
2016-05-05,H30597,新材料,761.83,韭圈儿
2016-05-06,H30597,新材料,735.82,韭圈儿
2016-05-09,H30597,新材料,707.0,韭圈儿
2016-05-10,H30597,新材料,700.69,韭圈儿
2016-05-11,H30597,新材料,698.51,韭圈儿
2016-05-12,H30597,新材料,713.4,韭圈儿
2016-05-13,H30597,新材料,715.62,韭圈儿
2016-05-16,H30597,新材料,732.98,韭圈儿
2016-05-17,H30597,新材料,728.85,韭圈儿
2016-05-18,H30597,新材料,710.46,韭圈儿
2016-05-19,H30597,新材料,725.78,韭圈儿
2016-05-20,H30597,新材料,728.74,韭圈儿
2016-05-23,H30597,新材料,736.19,韭圈儿
2016-05-24,H30597,新材料,733.18,韭圈儿
2016-05-25,H30597,新材料,726.11,韭圈儿
2016-05-26,H30597,新材料,737.98,韭圈儿
2016-05-27,H30597,新材料,733.94,韭圈儿
2016-05-30,H30597,新材料,730.15,韭圈儿
2016-05-31,H30597,新材料,767.77,韭圈儿
2016-06-01,H30597,新材料,782.07,韭圈儿
2016-06-02,H30597,新材料,788.45,韭圈儿
2016-06-03,H30597,新材料,788.07,韭圈儿
2016-06-06,H30597,新材料,794.09,韭圈儿
2016-06-07,H30597,新材料,792.76,韭圈儿
2016-06-08,H30597,新材料,788.14,韭圈儿
2016-06-13,H30597,新材料,169.36,韭圈儿
2016-06-14,H30597,新材料,170.0,韭圈儿
2016-06-15,H30597,新材料,177.96,韭圈儿
2016-06-16,H30597,新材料,179.73,韭圈儿
2016-06-17,H30597,新材料,179.7,韭圈儿
2016-06-20,H30597,新材料,179.65,韭圈儿
2016-06-21,H30597,新材料,176.22,韭圈儿
2016-06-22,H30597,新材料,179.34,韭圈儿
2016-06-23,H30597,新材料,175.16,韭圈儿
2016-06-24,H30597,新材料,172.36,韭圈儿
2016-06-27,H30597,新材料,175.73,韭圈儿
2016-06-28,H30597,新材料,175.7,韭圈儿
2016-06-29,H30597,新材料,178.11,韭圈儿
2016-06-30,H30597,新材料,176.08,韭圈儿
2016-07-01,H30597,新材料,176.23,韭圈儿
2016-07-04,H30597,新材料,180.93,韭圈儿
2016-07-05,H30597,新材料,181.67,韭圈儿
2016-07-06,H30597,新材料,181.41,韭圈儿
2016-07-07,H30597,新材料,185.82,韭圈儿
2016-07-08,H30597,新材料,183.58,韭圈儿
2016-07-11,H30597,新材料,184.7,韭圈儿
2016-07-12,H30597,新材料,186.51,韭圈儿
2016-07-13,H30597,新材料,187.9,韭圈儿
2016-07-14,H30597,新材料,187.07,韭圈儿
2016-07-15,H30597,新材料,185.96,韭圈儿
2016-07-18,H30597,新材料,184.75,韭圈儿
2016-07-19,H30597,新材料,184.66,韭圈儿
2016-07-20,H30597,新材料,184.7,韭圈儿
2016-07-21,H30597,新材料,184.96,韭圈儿
2016-07-22,H30597,新材料,183.26,韭圈儿
2016-07-25,H30597,新材料,183.65,韭圈儿
2016-07-26,H30597,新材料,185.36,韭圈儿
2016-07-27,H30597,新材料,172.0,韭圈儿
2016-07-28,H30597,新材料,173.13,韭圈儿
2016-07-29,H30597,新材料,171.97,韭圈儿
2016-08-01,H30597,新材料,169.09,韭圈儿
2016-08-02,H30597,新材料,160.61,韭圈儿
2016-08-03,H30597,新材料,161.06,韭圈儿
2016-08-04,H30597,新材料,163.1,韭圈儿
2016-08-05,H30597,新材料,162.24,韭圈儿
2016-08-08,H30597,新材料,163.78,韭圈儿
2016-08-09,H30597,新材料,165.58,韭圈儿
2016-08-10,H30597,新材料,158.71,韭圈儿
2016-08-11,H30597,新材料,155.39,韭圈儿
2016-08-12,H30597,新材料,150.73,韭圈儿
2016-08-15,H30597,新材料,154.22,韭圈儿
2016-08-16,H30597,新材料,156.01,韭圈儿
2016-08-17,H30597,新材料,156.3,韭圈儿
2016-08-18,H30597,新材料,141.38,韭圈儿
2016-08-19,H30597,新材料,140.88,韭圈儿
2016-08-22,H30597,新材料,137.82,韭圈儿
2016-08-23,H30597,新材料,128.37,韭圈儿
2016-08-24,H30597,新材料,126.09,韭圈儿
2016-08-25,H30597,新材料,124.31,韭圈儿
2016-08-26,H30597,新材料,125.06,韭圈儿
2016-08-29,H30597,新材料,121.26,韭圈儿
2016-08-30,H30597,新材料,125.91,韭圈儿
2016-08-31,H30597,新材料,117.64,韭圈儿
2016-09-01,H30597,新材料,116.96,韭圈儿
2016-09-02,H30597,新材料,116.42,韭圈儿
2016-09-05,H30597,新材料,117.25,韭圈儿
