,name,code,close,rate,premium,tag,mtexp,fundfirm,listdate,index,avgamount,m1,y0,y1,y3,y5,scale
367,半导体产业ETF,159582,1.565,9981,9978,行业，半导体，芯片,0.60%,博时基金,2024-04-16,中证半导指数,4244.07,11653,11283,10000,10000,10000,2.25
368,恒生科技ETF基金,159741,0.77,10052,10000,跨境，香港，科技,0.70%,嘉实基金,2021-06-03,恒生科技指数,30256.59,12222,12898,17111,12419,10000,6.34
369,中证500ETF易方达,510580,3.0,10000,10000,宽基，中小盘,0.20%,易方达基金,2015-09-14,中证500指数,7025.44,10714,10438,11790,9405,12250,31.67
370,芯片ETF基金,159599,1.629,10000,10006,行业，半导体，芯片,0.55%,东财基金,2024-05-08,芯片产业指数,3833.16,11652,11392,10000,10000,10000,7.3
371,双创ETF,159780,0.61,10066,9994,宽基，中小盘,0.60%,南方基金,2021-07-05,科创创业50指数,10315.31,11111,10739,13319,8277,10000,45.84
372,央企创新驱动ETF,515900,1.473,10000,9999,主题，央企,0.20%,博时基金,2019-12-18,央企创新指数,1579.07,10301,9787,11176,11544,15424,37.51
373,创业板综ETF万家,159541,1.213,10025,9976,宽基，中小盘,0.60%,万家基金,2023-10-31,创业板综指数,3308.91,11221,10967,13583,10000,10000,2.7
374,科创信息技术ETF,588100,1.483,10000,9986,行业，信息技术，科创板,0.60%,嘉实基金,2022-05-27,科创信息指数,4297.8,11742,11425,16225,10000,10000,3.5
375,沪深300成长ETF,562310,0.78,10000,9995,策略，成长,0.60%,银华基金,2022-09-09,300成长指数,1546.2,10414,10156,11538,10000,10000,10.31
376,恒生科技ETF指数基金,513580,0.778,10000,10000,跨境，香港，科技,0.60%,华安基金,2021-05-27,恒生科技指数,39910.39,12118,12775,16950,12428,10000,21.56
377,恒生互联网ETF,159688,1.058,10105,10000,跨境，香港，互联网,0.65%,华安基金,2023-02-15,恒生互联网科技业指数,44645.93,11901,12418,15513,10000,10000,6.4
378,电池50ETF,159796,0.62,9984,10028,主题，新兴产业，新能源车,0.20%,汇添富基金,2022-03-14,CS电池指数,4504.91,10915,10708,12157,10000,10000,10.04
379,创新药ETF易方达,516080,0.555,10000,9992,行业，医药,0.20%,易方达基金,2021-02-23,CS创新药指数,1232.2,10571,10335,10335,7236,10000,3.47
380,光伏ETF,159857,0.631,10000,10014,主题，光伏，新兴产业,0.60%,天弘基金,2021-02-24,光伏产业指数,14518.03,10413,9859,9172,4926,10000,19.03
381,稀土ETF基金,516150,1.12,10000,10002,主题，稀土,0.60%,嘉实基金,2021-03-17,稀土产业指数,5159.12,10811,10895,12918,7821,10000,16.39
382,A500ETF,159339,0.972,9918,10024,宽基，中小盘,0.20%,银华基金,2024-10-15,中证A500指数,67363.71,10362,10073,10000,10000,10000,98.82
383,港股通100ETF,159788,1.24,9873,10000,跨境，香港,0.20%,易方达基金,2022-03-02,HKC中国100港元指数,1260.77,11471,11450,14886,10000,10000,0.776
384,消费ETF,510150,0.518,9981,9993,行业，消费,0.60%,招商基金,2011-02-25,消费80指数,6371.64,10177,9792,10117,7573,10742,20.08
385,银行ETF华夏,515020,1.55,10000,9991,行业，金融，银行,0.60%,华夏基金,2019-12-03,中证银行指数,1270.45,9773,9885,12695,12789,16146,3.37
386,沪深300ETF华夏,510330,4.047,10000,10002,宽基，大盘股,0.20%,华夏基金,2013-01-16,沪深300指数,46093.56,10282,10003,11688,9169,10515,1640.08
387,银行ETF基金,512700,1.48,10000,9993,行业，金融，银行,0.60%,南方基金,2017-07-26,中证银行指数,9594.22,9769,9906,12702,12568,14885,15.65
388,恒生港股通ETF,159318,1.29,10134,10000,跨境，香港,0.60%,银华基金,2024-06-21,恒指港股通指数,2708.01,11518,11580,10000,10000,10000,0.522
